Group	Survey_Type	Fish	Length	Tag
Volunteers	Trawling	1	51	0
Volunteers	Trawling	2	57	0
Volunteers	Trawling	3	83	0
Volunteers	Trawling	4	80	0
Volunteers	Trawling	5	46	0
Volunteers	Trawling	6	66	1
Volunteers	Trawling	7	64	0
Volunteers	Trawling	8	40	1
Volunteers	Trawling	9	94	0
Volunteers	Trawling	10	87	1
Volunteers	Trawling	11	58	0
Volunteers	Trawling	12	59	0
Volunteers	Seining	1	50	0
Volunteers	Seining	2	10	0
Volunteers	Seining	3	21	0
Volunteers	Seining	4	30	0
Volunteers	Seining	5	25	0
Volunteers	Seining	6	12	0
Volunteers	Seining	7	46	0
Volunteers	Seining	8	26	0
Volunteers	Seining	9	28	0
Volunteers	Seining	10	22	1
Volunteers	Seining	11	22	1
Volunteers	Seining	12	34	0
Volunteers	Seining	13	54	0
Volunteers	Seining	14	6	0
Volunteers	Seining	15	36	1
Volunteers	Seining	16	28	0
Volunteers	Angling	1	57	0
Volunteers	Angling	2	36	0
Volunteers	Angling	3	30	0
Volunteers	Angling	4	16	0
Volunteers	Angling	5	14	0
Volunteers	Angling	6	35	0
Volunteers	Angling	7	41	0
Volunteers	Angling	8	12	0
Volunteers	Angling	9	33	0
Volunteers	Angling	10	22	1
Volunteers	Angling	11	56	0
Volunteers	Angling	12	56	0
Volunteers	Angling	13	10	1
Volunteers	Angling	14	38	0
Volunteers	Angling	15	56	0
Volunteers	Angling	16	27	0
Volunteers	Angling	17	14	0
Volunteers	Angling	18	20	0
Morning	Trawling	22	120	0
Morning	Trawling	22	116	0
Morning	Trawling	14	67	1
Morning	Trawling	94	77	1
Morning	Trawling	10	91	0
Morning	Trawling	13	189	1
Morning	Trawling	39	137	0
Morning	Trawling	54	88	0
Morning	Trawling	66	196	0
Morning	Trawling	20	133	0
Morning	Trawling	77	72	0
Morning	Trawling	28	79	0
Morning	Trawling	83	90	0
Morning	Trawling	59	100	0
Morning	Trawling	60	185	0
Morning	Trawling	88	192	0
Morning	Trawling	27	77	0
Morning	Trawling	21	91	0
Morning	Seining	67	130	0
Morning	Seining	28	97	0
Morning	Seining	32	36	1
Morning	Seining	16	28	0
Morning	Seining	97	188	0
Morning	Seining	19	103	0
Morning	Seining	10	40	0
Morning	Seining	48	94	0
Morning	Seining	57	157	0
Morning	Seining	50	42	0
Morning	Seining	40	54	0
Morning	Seining	30	65	1
Morning	Seining	26	41	1
Morning	Seining	35	18	0
Morning	Seining	59	12	0
Morning	Seining	22	23	0
Morning	Seining	34	43	0
Morning	Seining	56	54	0
Morning	Seining	37	17	0
Morning	Seining	39	46	0
Morning	Seining	47	32	0
Morning	Seining	15	14	0
Morning	Seining	31	22	0
Morning	Seining	25	16	0
Morning	Seining	21	17	0
Morning	Angling	36	50	0
Morning	Angling	6	17	0
Morning	Angling	59	31	0
Morning	Angling	38	23	0
Morning	Angling	19	36	0
Morning	Angling	25	37	0
Morning	Angling	41	20	1
Morning	Angling	53	35	0
Morning	Angling	5	42	1
Morning	Angling	48	54	0
Morning	Angling	29	47	0
Morning	Angling	37	14	0
Morning	Angling	10	40	0
Morning	Angling	16	28	0
Morning	Angling	47	30	1
Morning	Angling	57	33	0
Morning	Angling	50	42	0
Morning	Angling	10	59	0
Morning	Angling	48	54	0
Morning	Angling	32	36	0
Morning	Angling	7	14	0
Morning	Angling	57	25	0
Afternoon	Seining	66	196	0
Afternoon	Seining	8	26	1
Afternoon	Seining	14	23	1
Afternoon	Seining	35	17	1
Afternoon	Seining	25	37	0
Afternoon	Seining	54	88	0
Afternoon	Seining	59	31	0
Afternoon	Seining	39	137	0
Afternoon	Seining	38	23	0
Afternoon	Seining	6	17	0
Afternoon	Seining	5	42	1
Afternoon	Seining	53	35	1
Afternoon	Seining	21	17	0
Afternoon	Seining	34	43	0
Afternoon	Seining	41	153	0
Afternoon	Seining	35	18	0
Afternoon	Seining	47	76	0
Afternoon	Seining	31	44	0
Afternoon	Seining	21	29	0
Afternoon	Seining	66	91	1
Afternoon	Seining	65	65	1
Afternoon	Seining	55	101	0
Afternoon	Seining	15	183	0
Afternoon	Seining	65	76	0
Afternoon	Seining	58	79	0
Afternoon	Seining	31	133	0
Afternoon	Seining	77	72	0
Afternoon	Seining	60	155	0
Afternoon	Trawling	20	133	1
Afternoon	Trawling	54	60	0
Afternoon	Trawling	88	196	0
Afternoon	Trawling	41	147	0
Afternoon	Trawling	33	81	1
Afternoon	Trawling	55	72	1
Afternoon	Trawling	56	162	1
Afternoon	Trawling	54	186	0
Afternoon	Trawling	8	21	0
Afternoon	Trawling	85	65	0
Afternoon	Trawling	34	64	0
Afternoon	Trawling	19	55	0
Afternoon	Trawling	18	78	0
Afternoon	Angling	37	14	0
Afternoon	Angling	36	50	0
Afternoon	Angling	25	37	0
Afternoon	Angling	41	20	1
Afternoon	Angling	41	11	0
Afternoon	Angling	55	18	0
Afternoon	Angling	22	41	0
Afternoon	Angling	30	16	0
Afternoon	Angling	47	30	1
Afternoon	Angling	24	47	0
Afternoon	Angling	20	25	0
Afternoon	Angling	12	52	0
Afternoon	Angling	37	17	1
Afternoon	Angling	35	18	0
Afternoon	Angling	56	54	0
